state,district,ISI,RCS,ABS,mean_volume,cv,months_active,months_with_data,prop_5_17,prop_17_plus
Sikkim,West,0.4455,1.0,0.9845,398.22222222222223,0.7575248109581662,9,9,0.42689732142857145,0.5731026785714286
Sikkim,West Sikkim,0.4799,1.0,0.8962,365.6666666666667,0.8170944477566454,9,9,0.6873290793072014,0.31267092069279856
Tamil Nadu,Ariyalur,0.31,1.0,0.9736,8608.111111111111,0.38590795230573016,9,9,0.4045796600105843,0.5954203399894157
Tamil Nadu,Chengalpattu,0.3313,1.0,0.9471,694.2222222222222,0.5566383481868404,9,9,0.6346030729833547,0.36539692701664533
Tamil Nadu,Chennai,0.3756,1.0,0.9992,25892.333333333332,0.20557294316310465,9,9,0.48354939900699906,0.5164506009930009
Tamil Nadu,Coimbatore,0.4107,1.0,0.9276,24413.555555555555,0.2909772786911897,9,9,0.3429424454538007,0.6570575545461993
Tamil Nadu,Cuddalore,0.3523,1.0,0.996,18678.333333333332,0.28800510179657873,9,9,0.5372059129710598,0.46279408702894026
Tamil Nadu,Dharmapuri,0.3281,1.0,0.942,11650.888888888889,0.3655154438323815,9,9,0.6408762326193519,0.3591237673806481
Tamil Nadu,Dindigul,0.3612,1.0,0.9335,20680.333333333332,0.26931278488111654,9,9,0.3493872331737614,0.6506127668262386
Tamil Nadu,Erode,0.2675,1.0,0.9879,16388.333333333332,0.18117688467427193,9,9,0.4352215329333198,0.5647784670666802
Tamil Nadu,Kallakurichi,0.2048,1.0,0.9975,535.3333333333334,0.3423900346498253,9,9,0.5292652552926526,0.47073474470734744
Tamil Nadu,Kancheepuram,0.3947,1.0,0.9994,25991.0,0.2367621817945871,9,9,0.5149731317250843,0.4850268682749157
Tamil Nadu,Kanchipuram,0.0916,0.2222,0.5033,4.5,0.15713484026367724,2,2,0.1111111111111111,0.8888888888888888
Tamil Nadu,Kanniyakumari,0.1702,1.0,0.9687,7714.666666666667,0.16125753501095755,9,9,0.39628701463302224,0.6037129853669778
Tamil Nadu,Kanyakumari,0.221,1.0,0.841,3305.3333333333335,0.3231309427452403,9,9,0.7303348124243647,0.26966518757563535
Tamil Nadu,Karur,0.1765,1.0,0.9991,6423.0,0.19391512697873145,9,9,0.48236372757624507,0.5176362724237549
Tamil Nadu,Krishnagiri,0.2807,1.0,0.9665,13422.555555555555,0.25422231519282595,9,9,0.6073110767116711,0.39268892328832894
Tamil Nadu,Madurai,0.3674,1.0,0.9972,23755.333333333332,0.22773309666944938,9,9,0.46867604000037416,0.5313239599996258
Tamil Nadu,Mayiladuthurai,0.4677,1.0,0.7243,478.77777777777777,0.7942630226125377,9,9,0.7987932234857276,0.20120677651427246
Tamil Nadu,Nagapattinam,0.2515,1.0,0.9887,8964.111111111111,0.2796011518610719,9,9,0.43759683676884364,0.5624031632311564
Tamil Nadu,Namakkal,0.2665,1.0,0.9639,13443.444444444445,0.2293585723330407,9,9,0.3886239472357448,0.6113760527642552
Tamil Nadu,Perambalur,0.1993,1.0,0.9899,6337.444444444444,0.23460100550928517,9,9,0.4408191174150113,0.5591808825849887
Tamil Nadu,Pudukkottai,0.2912,1.0,0.9715,14478.444444444445,0.25422855753674345,9,9,0.4009485365217258,0.5990514634782742
Tamil Nadu,Ramanathapuram,0.228,1.0,0.9936,11157.666666666666,0.20211450465233555,9,9,0.452812714725301,0.5471872852746991
Tamil Nadu,Ranipet,0.5168,0.8889,0.9209,79.625,0.8852746527360061,8,8,0.6640502354788069,0.3359497645211931
Tamil Nadu,Salem,0.4535,1.0,0.9998,26738.222222222223,0.32495619187264785,9,9,0.4910199298548894,0.5089800701451106
Tamil Nadu,Sivaganga,0.2462,1.0,0.9948,10576.666666666666,0.24313440206400305,9,9,0.45767412543334385,0.5423258745666562
Tamil Nadu,Tenkasi,0.373,1.0,0.8253,1133.6666666666667,0.620696486144629,9,9,0.7409585416054102,0.2590414583945898
Tamil Nadu,Thanjavur,0.3566,1.0,0.9817,18840.777777777777,0.29247299568520907,9,9,0.4205122458969021,0.5794877541030979
Tamil Nadu,The Nilgiris,0.2656,1.0,0.9996,4900.444444444444,0.3725737364726888,9,9,0.5124025031743152,0.48759749682568476
